Date,Daily Count,Cumulative Count
2019-01-01,68,68
2019-01-02,5,73
2019-01-03,0,73
2019-01-04,0,73
2019-01-05,12,85
2019-01-06,11,96
2019-01-07,8,104
2019-01-08,5,109
2019-01-09,10,119
2019-01-10,7,126
2019-01-11,5,131
2019-01-12,5,136
2019-01-13,2,138
2019-01-14,0,138
2019-01-15,0,138
2019-01-16,0,138
2019-01-17,0,138
2019-01-18,0,138
2019-01-19,3,141
2019-01-20,5,146
2019-01-21,4,150
2019-01-22,1,151
2019-01-23,2,153
2019-01-24,1,154
2019-01-25,0,154
2019-01-26,3,157
2019-01-27,4,161
2019-01-28,0,161
2019-01-29,0,161
2019-01-30,0,161
2019-01-31,1,162
2019-02-01,0,162
2019-02-02,1,163
2019-02-03,0,163
2019-02-04,0,163
2019-02-05,1,164
2019-02-06,2,166
2019-02-07,0,166
2019-02-08,0,166
2019-02-09,0,166
2019-02-10,0,166
2019-02-11,0,166
2019-02-12,3,169
2019-02-13,0,169
2019-02-14,0,169
2019-02-15,0,169
2019-02-16,0,169
2019-02-17,1,170
2019-02-18,0,170
2019-02-19,0,170
2019-02-20,0,170
2019-02-21,0,170
2019-02-22,0,170
2019-02-23,0,170
2019-02-24,3,173
2019-02-25,0,173
2019-02-26,0,173
2019-02-27,1,174
2019-02-28,2,176
2019-03-01,4,180
2019-03-02,1,181
2019-03-03,1,182
2019-03-04,0,182
2019-03-05,0,182
2019-03-06,1,183
2019-03-07,0,183
2019-03-08,0,183
2019-03-09,2,185
2019-03-10,0,185
2019-03-11,0,185
2019-03-12,0,185
2019-03-13,0,185
2019-03-14,1,186
2019-03-15,0,186
2019-03-16,0,186
2019-03-17,0,186
2019-03-18,1,187
2019-03-19,1,188
2019-03-20,0,188
2019-03-21,0,188
2019-03-22,0,188
2019-03-23,0,188
2019-03-24,2,190
2019-03-25,0,190
2019-03-26,0,190
2019-03-27,0,190
2019-03-28,0,190
2019-03-29,0,190
2019-03-30,0,190
2019-03-31,0,190
2019-04-01,1,191
2019-04-02,0,191
2019-04-03,3,194
2019-04-04,0,194
2019-04-05,1,195
2019-04-06,2,197
2019-04-07,0,197
2019-04-08,0,197
2019-04-09,0,197
2019-04-10,0,197
2019-04-11,0,197
2019-04-12,1,198
2019-04-13,2,200
2019-04-14,4,204
2019-04-15,0,204
2019-04-16,0,204
2019-04-17,0,204
2019-04-18,0,204
2019-04-19,3,207
2019-04-20,2,209
2019-04-21,0,209
2019-04-22,1,210
2019-04-23,0,210
2019-04-24,1,211
2019-04-25,3,214
2019-04-26,1,215
2019-04-27,1,216
2019-04-28,2,218
2019-04-29,3,221
2019-04-30,0,221
2019-05-01,0,221
2019-05-02,1,222
2019-05-03,2,224
2019-05-04,4,228
2019-05-05,1,229
2019-05-06,1,230
2019-05-07,0,230
2019-05-08,0,230
2019-05-09,0,230
2019-05-10,0,230
2019-05-11,0,230
2019-05-12,1,231
2019-05-13,0,231
2019-05-14,0,231
2019-05-15,0,231
2019-05-16,0,231
2019-05-17,1,232
2019-05-18,0,232
2019-05-19,1,233
2019-05-20,0,233
2019-05-21,0,233
2019-05-22,1,234
2019-05-23,0,234
2019-05-24,0,234
2019-05-25,0,234
2019-05-26,1,235
2019-05-27,0,235
2019-05-28,1,236
2019-05-29,0,236
2019-05-30,0,236
2019-05-31,1,237
2019-06-01,0,237
2019-06-02,3,240
2019-06-03,0,240
2019-06-04,1,241
2019-06-05,0,241
2019-06-06,0,241
2019-06-07,0,241
2019-06-08,0,241
